inci_no,descript,alm_date,alm_time,station,clr_date,clr_time,alarms,LastUpdateDate,StartDate,EndDate,Elapsed Time (Days),Elapsed Time (Hours),Elapsed Time (Minutes),Elapsed Time (Seconds)
19-0003336,Building fire,1/26/2019,19:54:36,2,1/26/2019,21:19:48,1,05/12/2020 10:51:51,01/26/2019 19:54:36,01/26/2019 21:19:48,0.059,1.420,85.200,5112.000
19-0003444,Passenger vehicle fire,1/27/2019,16:50:55,12,1/27/2019,17:26:49,1,05/12/2020 10:51:51,01/27/2019 16:50:55,01/27/2019 17:26:49,0.025,0.598,35.900,2154.000
19-0003487,Passenger vehicle fire,1/27/2019,21:47:04,14,1/27/2019,22:17:06,1,05/12/2020 10:51:51,01/27/2019 21:47:04,01/27/2019 22:17:06,0.021,0.501,30.033,1802.000
19-0003548,"Cooking fire, confined to container",1/28/2019,9:41:01,1,1/28/2019,10:09:11,1,05/12/2020 10:51:51,01/28/2019 9:41:01,01/28/2019 10:09:11,0.020,0.469,28.167,1690.000
19-0003580,Passenger vehicle fire,1/28/2019,14:49:02,21,1/28/2019,16:21:39,1,05/12/2020 10:51:51,01/28/2019 14:49:02,01/28/2019 16:21:39,0.064,1.544,92.617,5557.000
19-0003582,Building fire,1/28/2019,15:01:09,15,1/28/2019,16:23:10,1,05/12/2020 10:51:51,01/28/2019 15:01:09,01/28/2019 16:23:10,0.057,1.367,82.017,4921.000
19-0003620,Building fire,1/28/2019,19:57:20,14,1/28/2019,21:20:39,1,05/12/2020 10:51:51,01/28/2019 19:57:20,01/28/2019 21:20:39,0.058,1.389,83.317,4999.000
19-0003653,Building fire,1/29/2019,3:26:37,8,1/29/2019,16:21:17,2,05/12/2020 10:51:51,01/29/2019 3:26:37,01/29/2019 16:21:17,0.538,12.911,774.667,46480.000
19-0003737,Overpressure rupture of steam pipe or pipeline,1/29/2019,16:41:12,6,1/29/2019,17:30:01,1,05/12/2020 10:51:51,01/29/2019 16:41:12,01/29/2019 17:30:01,0.034,0.814,48.817,2929.000
19-0003804,"Trash or rubbish fire, contained",1/30/2019,0:56:17,20,1/30/2019,1:15:34,1,05/12/2020 10:51:51,01/30/2019 0:56:17,01/30/2019 1:15:34,0.013,0.321,19.283,1157.000
19-0003836,"Outside rubbish, trash or waste fire",1/30/2019,6:00:42,1,1/30/2019,6:22:30,1,05/12/2020 10:51:51,01/30/2019 6:00:42,01/30/2019 6:22:30,0.015,0.363,21.800,1308.000
19-0003911,Passenger vehicle fire,1/30/2019,14:04:55,15,1/30/2019,14:51:08,1,05/12/2020 10:51:51,01/30/2019 14:04:55,01/30/2019 14:51:08,0.032,0.770,46.217,2773.000
19-0003911,Passenger vehicle fire,1/30/2019,14:04:55,15,1/30/2019,14:51:08,1,05/12/2020 10:51:51,01/30/2019 14:04:55,01/30/2019 14:51:08,0.032,0.770,46.217,2773.000
19-0003955,Building fire,1/30/2019,19:19:27,5,1/30/2019,19:52:59,1,05/12/2020 10:51:51,01/30/2019 19:19:27,01/30/2019 19:52:59,0.023,0.559,33.533,2012.000
