inci_no,descript,alm_date,alm_time,station,clr_date,clr_time,alarms,LastUpdateDate,StartDate,EndDate,Elapsed Time (Days),Elapsed Time (Hours),Elapsed Time (Minutes),Elapsed Time (Seconds)
19-0012415,Brush or brush-and-grass mixture fire,3/31/2019,15:27:31,5,3/31/2019,15:43:14,1,05/12/2020 10:51:51,03/31/2019 15:27:31,03/31/2019 15:43:14,0.011,0.262,15.717,943.000
19-0012426,"Cooking fire, confined to container",3/31/2019,16:44:43,8,3/31/2019,16:51:39,1,05/12/2020 10:51:51,03/31/2019 16:44:43,03/31/2019 16:51:39,0.005,0.116,6.933,416.000
19-0012533,"Cooking fire, confined to container",4/1/2019,12:21:40,5,4/1/2019,12:27:01,1,05/12/2020 10:51:51,04/01/2019 12:21:40,04/01/2019 12:27:01,0.004,0.089,5.350,321.000
19-0012563,Passenger vehicle fire,4/1/2019,16:56:31,12,4/1/2019,18:38:17,1,05/12/2020 10:51:51,04/01/2019 16:56:31,04/01/2019 18:38:17,0.071,1.696,101.767,6106.000
19-0012578,"Outside rubbish, trash or waste fire",4/1/2019,18:50:00,14,4/1/2019,19:05:16,1,05/12/2020 10:51:51,4/1/2019 18:50,04/01/2019 19:05:16,0.011,0.254,15.267,916.000
19-0012587,"Outside rubbish, trash or waste fire",4/1/2019,19:45:33,14,4/1/2019,19:52:33,1,05/12/2020 10:51:51,04/01/2019 19:45:33,04/01/2019 19:52:33,0.005,0.117,7.000,420.000
19-0012621,Building fire,4/2/2019,2:10:14,27,4/2/2019,4:47:20,1,05/12/2020 10:51:51,04/02/2019 2:10:14,04/02/2019 4:47:20,0.109,2.618,157.100,9426.000
19-0012652,Brush or brush-and-grass mixture fire,4/2/2019,10:01:27,21,4/2/2019,10:59:21,1,05/12/2020 10:51:51,04/02/2019 10:01:27,04/02/2019 10:59:21,0.040,0.965,57.900,3474.000
19-0012701,Passenger vehicle fire,4/2/2019,17:45:42,7,4/2/2019,18:21:02,1,05/12/2020 10:51:51,04/02/2019 17:45:42,04/02/2019 18:21:02,0.025,0.589,35.333,2120.000
19-0012720,Dumpster or other outside trash receptacle fire,4/2/2019,21:49:50,21,4/2/2019,22:00:42,1,05/12/2020 10:51:51,04/02/2019 21:49:50,04/02/2019 22:00:42,0.008,0.181,10.867,652.000
19-0012740,Passenger vehicle fire,4/3/2019,1:26:28,14,4/3/2019,2:24:52,1,05/12/2020 10:51:51,04/03/2019 1:26:28,04/03/2019 2:24:52,0.041,0.973,58.400,3504.000
19-0012777,Grass fire,4/3/2019,10:00:06,1,4/3/2019,10:16:24,1,05/12/2020 10:51:51,04/03/2019 10:00:06,04/03/2019 10:16:24,0.011,0.272,16.300,978.000
19-0012785,Dumpster or other outside trash receptacle fire,4/3/2019,11:27:17,15,4/3/2019,11:41:39,1,05/12/2020 10:51:51,04/03/2019 11:27:17,04/03/2019 11:41:39,0.010,0.239,14.367,862.000
19-0012833,Dumpster or other outside trash receptacle fire,4/3/2019,17:22:09,1,4/3/2019,17:27:55,1,05/12/2020 10:51:51,04/03/2019 17:22:09,04/03/2019 17:27:55,0.004,0.096,5.767,346.000
19-0012854,Dumpster or other outside trash receptacle fire,4/3/2019,19:00:57,8,4/3/2019,19:17:55,1,05/12/2020 10:51:51,04/03/2019 19:00:57,04/03/2019 19:17:55,0.012,0.283,16.967,1018.000
19-0012856,Dumpster or other outside trash receptacle fire,4/3/2019,19:18:51,17,4/3/2019,19:32:46,1,05/12/2020 10:51:51,04/03/2019 19:18:51,04/03/2019 19:32:46,0.010,0.232,13.917,835.000
19-0012867,"Cooking fire, confined to container",4/3/2019,21:44:05,21,4/3/2019,21:53:06,1,05/12/2020 10:51:51,04/03/2019 21:44:05,04/03/2019 21:53:06,0.006,0.150,9.017,541.000
19-0012876,Building fire,4/4/2019,0:19:24,14,4/4/2019,2:39:09,1,05/12/2020 10:51:51,04/04/2019 0:19:24,04/04/2019 2:39:09,0.097,2.329,139.750,8385.000
19-0012876,Building fire,4/4/2019,0:19:24,14,4/4/2019,2:39:09,1,05/12/2020 10:51:51,04/04/2019 0:19:24,04/04/2019 2:39:09,0.097,2.329,139.750,8385.000
19-0012892,"Outside rubbish, trash or waste fire",4/4/2019,3:42:36,6,4/4/2019,3:58:00,1,05/12/2020 10:51:51,04/04/2019 3:42:36,4/4/2019 3:58,0.011,0.257,15.400,924.000
19-0012929,Brush or brush-and-grass mixture fire,4/4/2019,12:31:39,5,4/4/2019,13:01:19,1,05/12/2020 10:51:51,04/04/2019 12:31:39,04/04/2019 13:01:19,0.021,0.494,29.667,1780.000
19-0012933,"Outside rubbish, trash or waste fire",4/4/2019,13:28:32,12,4/4/2019,13:42:00,1,05/12/2020 10:51:51,04/04/2019 13:28:32,4/4/2019 13:42,0.009,0.224,13.467,808.000
19-0012979,"Trash or rubbish fire, contained",4/4/2019,22:41:33,19,4/4/2019,23:31:06,1,05/12/2020 10:51:51,04/04/2019 22:41:33,04/04/2019 23:31:06,0.034,0.826,49.550,2973.000
19-0012981,Building fire,4/4/2019,23:15:15,5,4/5/2019,0:30:04,1,05/12/2020 10:51:51,04/04/2019 23:15:15,04/05/2019 0:30:04,0.052,1.247,74.817,4489.000
19-0013159,"Cooking fire, confined to container",4/6/2019,11:52:29,16,4/6/2019,12:08:00,1,05/12/2020 10:51:51,04/06/2019 11:52:29,4/6/2019 12:08,0.011,0.259,15.517,931.000
19-0013168,Fires in structure other than in a building,4/6/2019,13:08:18,8,4/6/2019,13:31:59,1,05/12/2020 10:51:51,04/06/2019 13:08:18,04/06/2019 13:31:59,0.016,0.395,23.683,1421.000
19-0013291,Dumpster or other outside trash receptacle fire,4/7/2019,14:22:36,17,4/7/2019,14:36:36,1,05/12/2020 10:51:51,04/07/2019 14:22:36,04/07/2019 14:36:36,0.010,0.233,14.000,840.000
19-0013323,"Cooking fire, confined to container",4/7/2019,18:10:21,11,4/7/2019,18:26:21,1,05/12/2020 10:51:51,04/07/2019 18:10:21,04/07/2019 18:26:21,0.011,0.267,16.000,960.000
19-0013428,"Cooking fire, confined to container",4/8/2019,15:12:43,27,4/8/2019,15:23:10,1,05/12/2020 10:51:51,04/08/2019 15:12:43,04/08/2019 15:23:10,0.007,0.174,10.450,627.000
19-0013473,Building fire,4/8/2019,21:19:32,4,4/9/2019,0:07:14,1,05/12/2020 10:51:51,04/08/2019 21:19:32,04/09/2019 0:07:14,0.116,2.795,167.700,10062.000
19-0013480,Building fire,4/8/2019,22:08:25,14,4/8/2019,22:31:57,1,05/12/2020 10:51:51,04/08/2019 22:08:25,04/08/2019 22:31:57,0.016,0.392,23.533,1412.000
19-0013583,Dumpster or other outside trash receptacle fire,4/9/2019,16:41:44,16,4/9/2019,16:51:34,1,05/12/2020 10:51:51,04/09/2019 16:41:44,04/09/2019 16:51:34,0.007,0.164,9.833,590.000
19-0013615,Building fire,4/9/2019,22:33:40,6,4/9/2019,23:13:03,1,05/12/2020 10:51:51,04/09/2019 22:33:40,04/09/2019 23:13:03,0.027,0.656,39.383,2363.000
19-0013717,Passenger vehicle fire,4/10/2019,20:14:29,17,4/10/2019,21:17:03,1,05/12/2020 10:51:51,04/10/2019 20:14:29,04/10/2019 21:17:03,0.043,1.043,62.567,3754.000
19-0013749,Building fire,4/11/2019,2:18:04,6,4/11/2019,3:54:24,1,05/12/2020 10:51:51,04/11/2019 2:18:04,04/11/2019 3:54:24,0.067,1.606,96.333,5780.000
